questionId,questionContent,answerId,answerFile,postedBy,hashtag1,hashtag2,hashtag3,questionStatus
meta_qn_000,How to live after your relatives passed away?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_001,What is it like to experience a disaster?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_002,Have anyone gone through 9/11?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_003,How to promote equal opportunity?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_004,How to find new ways of supporting others?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_005,Does everyone have unconscious bias?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_006,How to help women in war-torn regions rebuild their lives?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_007,How do people live and cope in the midst of violent conflict?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_008,How life continues in the midst of war?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_009,How to educate childre in the developing world?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_010,Why women and men deserve equal opportunities for eductaion?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_011,Why it is important for young girls to develop an independent indentity?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_012,Can you choose a different path of your life?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_013,How to reject a path of violence?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_014,How to find a path to peace?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_015,What is cancer treatment via angiogenesis?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_016,What is the new way to fight against cancer?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_017,How the food we eat influence our health?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_018,How to harness the wind?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_019,How to build windmill to power my village?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_020,How does a invention change people's life?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_021,How to talk to veterans about wars?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_022,How coming home after war is no longer normal?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_023,What does the veteran life look like?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_024,What is visually oriented scientific world?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_025,How to represent complex data about the universe as sound?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_026,How can we hear the stars?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_027,What we know about autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
meta_qn_028,What is autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
meta_qn_029,How to cure autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
